|target|source
0|Тōрум Пы̄г Ӣсус Кристос урыл ōлнэ Ёмас Ля̄ххал тох ты ōвылтахты:|Начало Евангелия Иисуса Христа, Сына Божия,
1|Тōрум лāтыӈ тотнэхум Исая такви нэ̄пакēт тох лāвыс:|как написано у пророков: вот, Я посылаю Ангела Моего пред лицем Твоим, который приготовит путь Твой пред Тобою.
2|Ам тамле турсуй мир ōлтал мāт хӯлсум:|Глас вопиющего в пустыне: приготовьте путь Господу, прямыми сделайте стези Ему.
3|Тōрум ля̄ххал тотнэ хум, Иоан, мир ōлтал мāт ōлыс. Тав мир Тōрум ля̄льт сунсуӈкве ос кареканыл хот-вуськасаӈкве лāвыгласанэ.|Явился Иоанн, крестя в пустыне и проповедуя крещение покаяния для прощения грехов.
4|Иерусалим ӯсныл, Юдея мāныл сāв мāхум тав палтэ ёхтысыт. Кареканыл вуськасан ос Тōрум ля̄льт суснэ мāхум Иоан Иордан я̄т витыл пēрнал пинсанэ.|И выходили к нему вся страна Иудейская и Иерусалимляне, и крестились от него все в реке Иордане, исповедуя грехи свои.
5|Иоан верблюд пунныл сāгим маснутыл масхатым ōлыс. Тав совныл вāрим э̄нтап квāлыг ōньсис. Тав саранча ос мāг тāим ōлыс.|Иоанн же носил одежду из верблюжьего волоса и пояс кожаный на чреслах своих, и ел акриды и дикий мед.
6|Тав мирн лāвыглас:— Ам юи-пāлумт та хум ёхты. Тав āнумныл ё̄рнув. Тав лāгыл маснут квāлганэ хoт-пēсталаӈкве ат хōйхатэ̄гум.|И проповедывал, говоря: идет за мною Сильнейший меня, у Которого я недостоин, наклонившись, развязать ремень обуви Его;
7|Ам нāнан витыл пēрнал пинсанум, Тав нāнан Ялпыӈ Лылыл пиниянэ.|я крестил вас водою, а Он будет крестить вас Духом Святым.
8|Та порат Галилeя мāт ōлнэ Назарет ӯсныл Ӣсус ёхтыс. Тав Иоанын Иордан я̄т витыл пēрнал пинвес.|И было в те дни, пришел Иисус из Назарета Галилейского и крестился от Иоанна в Иордане.
9|Ӣсус витныл нōх-нэ̄глуме порат Иоан кāсаластэ: тōрум пāлыгпӯсхатас ос Ялпыӈ Лылы, голубь хурил Тав палтэ ёл-тāртахтас.|И когда выходил из воды, тотчас увидел [Иоанн] разверзающиеся небеса и Духа, как голубя, сходящего на Него.
10|Нуми тōрумныл суйтыс:— Наӈ Ам я̄тил Пыгквем! Наӈ Ам сымум э̄рнэ Пыгк вем!|И глас был с небес: Ты Сын Мой возлюбленный, в Котором Мое благоволение.
11|Ӣсус витыл пēрнал пиныматэ юи-пāлт Ялпыӈ Лылын мир ōлтал мāн тотвэс.|Немедленно после того Дух ведет Его в пустыню.
12|Тав тот налыман хōтал ōлыс. Сатана Таве āквагкасилтастэ. Тав мувлахитэ̄т вōруйт ōлсыт осангелыт Тавēн луситасыт.|И был Он там в пустыне сорок дней, искушаемый сатаною, и был со зверями; и Ангелы служили Ему.
13|Иоан кāснаколн ӯнттыматэ юи-пāлт Ӣсус Галилея мāн минас. Тот Тав Тōрум ōлнэ хōн-мā урыл Ёмас Ля̄ххал потыртаӈкве|После же того, как предан был Иоанн, пришел Иисус в Галилею, проповедуя Евангелие Царствия Божия
14|патыс:— Пора та ёхтыс, Тōрум ōлнэ хōн-мā ляпат! Нāнкареканын хультуптэн ос Ёмас Ля̄ххалн агтэ̄н!|и говоря, что исполнилось время и приблизилось Царствие Божие: покайтесь и веруйте в Евангелие.
15|Аквматнакт, Галилея ся̄рысь вāтат ё̄миматэ, Ӣсус хӯл алысьлан хумыг кāсалас: каӈкы̄г-апсиы̄г Симон ос Андрей. Тэ̄н та торыг хӯл алысьласы̄г.|Проходя же близ моря Галилейского, увидел Симона и Андрея, брата его, закидывающих сети в море, ибо они были рыболовы.
16|Ӣсус тэ̄н нупылэ̄н лāвыс:— Ам юи-пāлумт йиēн. Ам нэ̄нан э̄лумхōлас пувнэ хумы̄г вāриягум!|И сказал им Иисус: идите за Мною, и Я сделаю, что вы будете ловцами человеков.
17|Каӈкы̄г-апсиы̄г аквтаторыг хӯлпēн оссувластэ̄н. Ӣсус юи-пāлэ̄т минмыгтасы̄г.|И они тотчас, оставив свои сети, последовали за Ним.
18|Э̄лаль-миныматэ, Ӣсус Зeвeдeй-ōйка пыгы̄г, Яков ос Иоан, кāсаласагe. Тэ̄н хāпт хӯлпанэ̄н сё̄питасы̄г.|И, пройдя оттуда немного, Он увидел Иакова Зеведеева и Иоанна, брата его, также в лодке починивающих сети;
19|Ӣсус тэ̄на тэ̄н ōс ёт вōвсаге. Тэ̄н тāра-та Тав ётэ минмыгтасы̄г, Зеведей-ōйка ос мēтхумияныл хāпт та хультсыт.|и тотчас призвал их. И они, оставив отца своего Зеведея в лодке с работниками, последовали за Ним.
20|Капернаум ӯсн ёхтуманыл порат, Ӣсус сабатхоталт синагоган минас ос тот мāхум ханисьтас.|И приходят в Капернаум; и вскоре в субботу вошел Он в синагогу и учил.
