,0
0,"Ха̄льӯс район Ня̄хщамво̄ль па̄выл ляпат, нё̄рыт ляпат, Тӯрва̄т па̄выл ӯнлы."
1,Тот хосат та̄гыл Савва ос Татьяна Самбиндаловыг ня̄враманэ̄н ос апганэ̄н ёт о̄лэ̄г.
2,Ма̄ньщи э̄кваг-о̄йкаг нила пыганэ̄н пуссын тот во̄раим яласэ̄гыт.
3,"Ань та̄н о̄лупсаныл хомлег о̄лы, ты урыл котиль пыге̄н Андрей Самбиндалов потыртас."
4,"Ма̄ньщи хум каӈке ос а̄пщияге ёт матахмат та̄л ювле хультум порат Тӯрва̄т па̄вылт йильпи кол, а̄мпар ӯнттыс."
5,Нё̄рт яласан ма̄хум ва̄тихал та̄н палтаныл ӯщлахтуӈ­кве хо̄иглэ̄гыт.
6,Хум ма̄щ­тырыг ёсат ва̄ри.
7,Ёса паттанэ пе̄с щирыл со̄руп котыл пиныянэ.
8,"Ты кот та̄кыг о̄лы, во̄рт ё̄мим молях нярыг ат паты, урамын но̄х-ха̄ӈхуӈкве о̄с кӯпнит, ювле ат хис­лэ̄г."
9,Юи-о̄выл та̄лытт са̄в хо̄тпа во̄раяӈкве патсыт.
10,Та̄н тамле ёсат сака кин­сэ̄гыт.
11,Андрей Савельевич матыр-а̄ти пуссын ма̄щ­тырлаӈкве ха̄сы.
12,Такви йӣвха̄пыт ва̄руӈкве ханищтахтас.
13,Са̄выӈпа̄лэ ва̄рнэ пормасанэ э̄л тыналыянэ.
14,Ты хосыт олн сэ̄лы.
15,"Ань во̄р па̄вылт Савва Татьяна э̄кватэ ёт, нила пыганэ̄н Олег, Илья, Андрей, Алексей ос Ирина а̄гитэ̄н о̄лэ̄гыт."
16,Хумыт пуссын во̄рае̄гыт.
17,Татьяна ос Ирина кол­со̄ри рӯ­пата ва̄ре̄г.
18,"Пӯркат, супыт ос мо̄т са̄всыр мас­нутыт ма̄хманэ̄н ма̄гыс ю̄нтэ̄г."
19,То̄ва маснутыт ты­налан ма̄гыс ю̄н­тэ̄г.
20,Пыгыт пуссын та̄нки ма̄нанылт я̄нас во̄рае̄гыт.
21,Андрей 2018 та̄лт Тӯрва̄т па̄вылныл ва̄т ве̄рыстат нё̄рт йильпи во̄ркол ӯнт­тыс.
22,Тот нёхыс алыщлан ма̄гыс ва̄тахкем ке̄рняль ӯнттыс.
23,"Юи-о̄выл та̄лытт тот со̄руп мощща хультыс, са̄выӈпа̄лэ во̄р са̄лыт ха̄йтыгтэ̄гыт."
24,Са̄лыт ёсал коиянэ.
25,Нё̄влянэ Ня̄х­щам­во̄ль па̄выл ма̄хумн тыналыянэ.
26,Па̄влыӈ ма̄хум пуссын нё̄влил та̄с­тысанэ.
27,Тыгыл э̄лаль са̄лы нё̄влянэ Са̄пса па̄выл нупыл тотыглаӈкве паты­янэ.
28,Тот ма̄хум о̄с нё̄выль ӯре̄гыт.
29,Ань та̄л котиль э̄тпос­ныл ос туристыт нас ӯщ­лахтын ма̄гыс нё̄рн ялан­таӈ­кве патэ̄гыт.
30,Та̄н Тӯрва̄т па̄вылн мӯйлуӈкве акваг хо̄иглэ̄гыт.
31,"Ма̄ньщи хум тот о̄лнэ нё̄рыт пуссын ёмщакв ва̄ганэ, лё̄ӈхыт хӯлтыглым та̄н ётаныл яласы."
32,"Са̄выӈпа̄лэ мир ты нё̄рытн тотыглыянэ: «Вап сом щахыл», «На̄ӈк нёл щахыл», «Ма̄нь томрат», «Яныг томрат», «Па̄квна - Сори щахыл» ос мо̄т ура­мыт."
33,Тыи ма̄гыс о̄с олныл ойтаве.
34,"Хум потре щирыл, ань ты та̄л ре̄тыӈ ю̄свой э̄т­пост йильпи э̄тпос яныг­маӈкве о̄вылтахтын порат Тӯрва̄т па̄вылт Ӯй йӣквуӈ­кве номсэ̄гыт."
35,Ты кастыл рӯт ма̄хум тув во̄вияныл.
36,"Юи-о̄выл щёс Ӯй йӣкв 2011 та̄лт Лэ̄пла па̄вылт ва̄рыглавес, та па̄сныл лов та̄л минас."
37,Ты ва̄рмаль сака хосан ювле хультуп­таӈ­кве ат ро̄ви.
38,Николай МЕРОВ
39,Та та̄л оигпан ляпат Ханты-Мансийск ӯст о̄лнэ округ Творчество колт сапра̄ни ва̄рыглавес.
40,"То̄нт культура, наука щирыл рӯпитан хо̄тпат акван-атхатыгласыт ос хоты ма̄ньщи, ханты ос ё̄рн ма̄хум наманыл ищхӣпыӈ ма̄т о̄лнэ ло̄псын хансуӈкве э̄ри, та урыл потыртасыт ос пе̄риясыт."
41,Рущ ла̄тӈыл ты ва̄рмаль «реестрыг» ла̄ваве.
42,"Мӯтраӈ хо̄тпа урыл ловиньтаӈкве тот ро̄ви
Округувт реестр-ло̄пс 2014 та̄лт ма̄ньщи, ханты ё̄рн мирыт пе̄с йис ва̄р­ма­ляныл э̄лаль тотнэ ма̄г­сыл ва̄рвес."
43,"Ос Творчество колт рӯпитан хо̄тпат сосса ма̄хум наманыл, пе̄с пот­рыт, мо̄йтыт, э̄ргыт тув хан­суӈкве ла̄вве̄сыт."
44,"Ма̄н о̄лнэ ма̄вт ма̄ньщи,  ханты ос ёрн мирыт халт ма̄щтыр хо̄тпат, пе̄с йис ва̄рмалит ва̄нэ хо̄тпат ань сака са̄в а̄тим."
