|target|source|comment
0|а̄ӈкв|самка лося|
1|а̄ӈква̄ги|двоюродная сестра|по материнской линии
2|а̄ӈквал|столб|
3|а̄ӈквал|пень|
4|а̄ӈквата̄луӈкве|взглянуть|
5|а̄ӈквата̄луӈкве|посмотреть|
6|а̄ӈкватаӈкве|взглянуть|
7|а̄ӈквпыг|двоюродный брат|по материнской линии
8|а̄ӈха|куропатка|
9|а̄ӈхвуӈкве|раздеть|
10|а̄ӈхвуӈкве|снять одежду|
11|а̄ӈхвыглаӈкве|раздевать|
12|а̄ӈхвыглаӈкве|снимать одежду|
13|а̄ви|дверь|
14|а̄ви со̄пла|косяк|двери
15|а̄ви сӯнт|порог|двери
16|а̄ви ха̄п|порог|двери
17|а̄врах|обрыв|
18|а̄врах|крутой берег|
19|а̄врахыӈ|обрывистый|
20|а̄ги|дочь|
21|а̄ги|девушка|
22|а̄гирись|девочка|
23|а̄гирись|дочка|
24|а̄гм|болезнь|
25|а̄гмалтаӈкве|одеревенеть|
26|а̄гмхарыӈ|хилый|
27|а̄гмхарыӈ|чахлый|
28|а̄гмыӈ|больной|
29|агт|вера|
30|агтнэ|верящий|
31|агтта̄л|неверящий|
32|агтта̄л|недоверчиво|
33|агтуӈкве|верить|
34|агтыгла̄луӈкве|убеждаться|
35|агылттаӈкве|убедить|
36|а̄йт|рвота|
37|а̄йт|тошнота|
38|айнут|напиток|
39|айтуӈкве|напоить|
40|айхатуӈкве|захлебнуться|
41|айхатыглаӈкве|захлёбываться|
42|а̄кань|кукла|
43|а̄кар|породистая собака|
44|а̄кве̄ква|бабушка|
45|а̄кве̄ква|старуха|
46|аканьлахтуӈкве|играть в куклы|
47|акв|один|
48|акв|один мужчина|
49|акв-па̄лн|прочь|
50|аква|один|
51|акваг|всегда|
52|акваг|повсюду|
53|аквал-аквал|по одному|
54|акван-аняктахтуӈкве|столпиться|
55|акван-аняктахтуӈкве|сгрудиться|
56|акван-атуӈкве|собрать|
57|акван-вониртаӈкве|сощурить|
58|акван-вониртаӈкве|зажмурить|
59|акван-консуӈкве|сгрести|
60|акван-лаквтуӈкве|сдвинуть|
61|акван-ле̄ӈктхатуӈкве|столкнуться|
62|акван-ляпамаӈкве|сблизиться|
63|акван-ляпамтаӈкве|приблизить|
64|акван-мо̄ртуӈкве|сравнить|
65|акван-нарумтаӈкве|столкнуть|
66|акван-ня̄влуӈкве|согнать|
67|акван-о̄лтуӈкве|соединить|
68|акван-о̄лтхатуӈкве|соединиться|
69|акван-пасиртаӈкве|стиснуть|
70|акван-патуӈкве|слиться|о реках
71|акван-пе̄руӈкве|скрутить|
72|акван-пинтлантаӈкве|складывать|
73|акван-пинтлуӈкве|сложить|о вещах
74|акван-потыртахтуӈкве|сговориться|
75|акван-ра̄туӈкве|сколотить|
76|акван-ра̄туӈкве|сбить|
77|акван-равтуӈкве|перемешать|
78|акван-ро̄вуӈкве|совпасть|
79|акван-сагуӈкве|сплести|вместе
80|акван-сюӈкыртахтуӈкве|свернуться|лечь согнувшись
81|акван-сё̄питаӈкве|сложить|
82|акван-сё̄питаӈкве|упаковать|
83|акван-та̄кмалтаӈкве|скрепить|
84|акван-таӈыртаӈкве|сжать|
85|акван-то̄вмуӈкве|прикусить|
86|акван-то̄вмуӈкве|зажать|зубы
87|акван-тыламлаӈкве|слететься|
88|акван-тэ̄лыглаӈкве|смешаться|
89|акван-тэ̄лыглаӈкве|соединиться|о веществах
90|акван-тэ̄лыгтаӈкве|смешать|
91|акван-тэ̄лыгтаӈкве|соединить|
92|акван-ха̄йтуӈкве|сбежаться|
93|акван-ханлаӈкве|склеить|
94|акван-хо̄юӈкве|столкнуться|
95|акван-ю̄нтуӈкве|сшить|
96|акван-ю̄ныгтаӈкве|сколотить|
97|акван-юрсьхатуӈкве|объединиться|
98|акван-юрсьхатуӈкве|сплотиться|
99|акван-юрсюӈкве|объединить|
100|акван-юрсюӈкве|сплотить|
101|акван-ӯнтталаӈкве|составить|
102|акван-ӯнтталаӈкве|поставить|
103|акват-о̄луӈкве|жить|
104|акват-о̄луӈкве|находиться|вместе
105|акват-ӯнлуӈкве|сидеть|вместе
106|аквке̄м|равный|по количеству
107|аквке̄мт|наравне|
108|аквке̄мыл||нареч.
109|аквке̄мыл|поровну|
110|аквматнакт|однажды|
111|аквматэ̄ртын|однажды|
112|аквонтсыл|рядом|
113|аквписыг|всегда|
114|аквписыг|навсегда|
115|аквписыг|постоянно|
116|аквпо̄хат|рядом|
117|аквсыр|одинаковый|
118|аквсыр|однородный|
119|аквта|тот же|
120|аквта порат|одновременно|
121|аквта торыг|одновременно|
122|аквта хурип|такой же|
123|аквтамле|такой же|
124|аквтоп|будто|
125|аквтопмат|как будто|
126|аквтопмат|словно|
127|аквторыг|сразу|
128|аквторыг|одновременно|
129|аквтув|туда же|
130|аквты|этот же|
131|аквты порат|в это же время|
132|аквты порат|одновременно|
133|аквтыг|сюда же|
134|аквтыкӯмт|в этот же момент|
135|аквтыкӯмт|сразу|
136|аквтыпыл|всё равно|
137|аквтыпыл|так или иначе|
138|аквхуйплов|одиннадцать|
139|аквхуйпловит|одиннадцатый|
140|аквхурип|одинаковый|
141|аквхурип|одного вида|
142|аквъяныт|равный|по размеру
143|аквъёт|вместе|
144|аки|дядя|старший брат отца
145|а̄лмаяӈкве|поднять|
146|а̄лмаяӈкве|схватить|
147|а̄лмта̄луӈкве|носить|на руках
148|а̄лмтанут|ноша|
149|а̄лмуӈкве|подымать|
150|а̄лн|таймень|
151|а̄лнхӯл|таймень|
152|а̄лпыл|утренний|
153|а̄лпыл|утром|
154|а̄лта̄гыл|охапка|
155|а̄лумтаӈкве|нести|
156|а̄лымалыглаӈкве|успевать|
157|а̄лымаӈкве|успеть|
158|ала|крыша|
159|ала|крышка|
160|алаӈ пӯт|кастрюля|
161|алгаль|вверх по реке|
162|алнут|добыча|
163|алпи|тело|
164|алписов|кожа|тела
165|алсиӈ|вооружённый|
166|алуӈкве|убить|
167|алуӈкве|добыть|рыбу
168|алуӈкве|зверя|
169|алхатуӈкве|драться|
170|алы|верхний|по течению реки
171|алы|южный|
172|алыгла̄луӈкве|добывать|рыбу
173|алыгла̄луӈкве|зверя|
174|алыглаӈкве|убить|
175|алыглаӈкве|добыть|рыбу
176|алыглаӈкве|зверя|
177|алыл|сверху|по течению реки
178|алыма̄|южная страна|
179|алыса̄м|южный край|
180|алыса̄м|юг|
181|алысь|оружие|
182|алысь|орудия промысла|
183|алысь|добыча|на промысле
184|алысьлан хум|охотник|
185|алысьлап|орудие промысла|
186|алысьлаӈкве|промышлять|
187|алысьта̄л|безоружный|
188|а̄мара̄луӈкве|заливать|
189|а̄мара̄луӈкве|затоплять|
190|а̄мараӈкве|залить|
191|а̄мараӈкве|затопить|
192|а̄марматуӈкве|зачерпнуть|
